,Album,Song Name,Duration_ms,Duration (mins)
31,Speak Now,Dear John,403920,6.732
35,Speak Now,Enchanted,352187,5.869783333333333
37,Speak Now,Innocent,302253,5.03755
39,Speak Now,Last Kiss,367133,6.118883333333334
40,Speak Now,Long Live,317947,5.2991166666666665
45,Red,All Too Well,327893,5.464883333333334
125,evermore,happiness,315147,5.25245
133,evermore,evermore (feat. Bon Iver),304107,5.06845
